id,output_type,name,category,description,var_a_output,var_a_description,var_b_output,var_b_description,formula,rating,count
39,$,Cost of services delivered,Business Consulting,Measures the overall cost of delivering the service to customers. It includes all costs directly related to the service (cost of labor plus delivery overhead costs).,$,Delivery labor costs,$,"Delivery overhead costs (fringe benefi ts, travel)",A+B,4.2,552
40,$,Delivery overhead costs,Business Consulting,"Measures the overhead costs (fringe benefi ts for the consultants, recruiters or lawyers, travel expense etc.) that are integral part of any consulting project or service delivery.",$,"Overhead costs (fringe benefi ts, travel) inherent to service delivery",,,A,2.6,394
41,%,Employee utilization rate,Business Consulting,"Measures the time employees are actually used in project-related work, relative to their availability.",#,Time working on projects (in days / hours),#,Time available for working on projects ,(A/B)*100,4.5,335
42,$,Hourly fee,Business Consulting,"Measures the average fee the company charges per hour, considering the types of services it provides and its position on the market.",$,Revenue,#,Hours billed,A/B,3.2,521
43,#,Labor multiplier,Business Consulting,Measures the revenue earned per each dollar spent on employees.,$,Revenue,$,Labor cost,A/B,2.6,159
44,$,Load costs,Business Consulting,Measures the value of the costs that are not directly related to the services delivery.,$,"Costs that are not directly related to the services delivery, but to the non-core activity of the business",,,A ,2.8,402
45,$,Net fees,Business Consulting,Measures the net value of the fees billed.,$,Gross fees,$,Writedowns,A-B,2.7,680
46,$,Net fees per FTE,Business Consulting,Measures the value of the net fees collected on a per FTE (full-time equivalent employee) basis.,$,Net fees,#,Employees,A/B,2.8,501
47,#,Potential new clients contacted,Business Consulting,Measures the number of potential new clients that were contacted in order to generate a contract.,#,Potential new clients contacted,,,A,4.6,431
48,$,Profit per project,Business Consulting,Measures the profi t achieved by a specifi c project.,$,Revenue from project,$,"Project costs (only direct project costs are considered: cost of labor for the project, travel, communications, cost of sales etc.)",A-B,4.7,594
49,%,Profitable projects,Business Consulting,Measures the profi t achieved by a specifi c project.,#,Projects that are profi table (meaning project revenue exceeds project costs),#,Projects,(A/B)*100,3.1,168
50,#,Project assignment duration,Business Consulting,Measures the average time of work for a project or work package.,#,"Time allocated for project assignments or work packages, in weeks",#,Assignments or work packages,A/B,3.7,545
51,%,Realization rate,Business Consulting,Measures the percentage of revenue actually earned relative to the potential revenue represented by list prices.,$,Revenue actually earned,$,Potential revenue represented by list prices,(A/B)*100,4.6,448
52,%,Research and preparation from chargeable time,Business Consulting,Measures the percentage of research and preparation time from the overall chargeable to client time.,#,Research and preparation time,#,Chargeable time,(A/B)*100,4,672
53,$,Revenue by practice,Business Consulting,Measures the amount of revenue generated by a particular service provided by the professional fi rm.,$,Revenue generated by the practice/service considered,,,A,4.8,455
54,$,Seminar and collateral materials costs,Business Consulting,"Measures the amount spent on seminars with potential or existing clients and marketing collateral (brochures, product white papers). ",$,Seminar costs,$,Marketing collateral costs,A+B,4.1,361
55,$,Services revenue,Business Consulting,Measures the overall value of the revenue achieved from all services activities. ,$,"Revenue from all services (consulting, solutions, 3rd party pass-through)",,,A,3.9,296
56,$,Solution margin,Business Consulting,Measures the margin achieved on average when delivering a specifi c solution to the client.,$,"Solution margin in delivery ‘i’, where i=1 to n",n,Solution delivered to clients,(A1+A2+...+An)/n,3.1,555
57,$,Solution revenue,Business Consulting,Measures the value of the revenues from services generated by a specifi c solution.,$,Revenue incurred from a specifi c solution,,,A,3.6,195
58,%,Travel time from chargeable time,Business Consulting,Measures the percentage of travel time from the overall chargeable to client time.,#,Travel time,#,Chargeable time,(A/B)*100,3.3,623
139,#,Adherence to schedule estimate,Recruitment/Employment Activities,Measures the ratio between the administrative support staff  and the number of recruiters.,#,Time actually needed to complete the customer project,#,Estimated time for completion,[(A-B)/B]*100,2.5,78
140,$,Administrative staff per recruiter,Recruitment/Employment Activities,Measures the total value of contract commitments to be executed in the future.,#,Administrative staff ,#,Recruiters,A/B,4.8,169
173,#,Recruitment projects meeting hiring plan,Recruitment/Employment Activities,Measures the rate of recruitment projects that meet the standards prescribed by the hiring plan.,#,Recruitment projects that meet the standards prescribed by the hiring plan,#,Recruitment projects,A/B,2.6,238
174,$,Requisitions handled per recruiter,Recruitment/Employment Activities,Measures the number of open job requisitions handled on average by each member of the team of recruiters.,#,Job requisitions,#,Active recruiters in the recruiting team,A,4.3,617
175,%,Revenue by practice,Recruitment/Employment Activities,Measures the ratio of screened candidates from total volume of  successful applicants. A screened candidate is a candidate whose CV has been checked for correspondence with reality before being hired. ,#,Screened candidates,#,Successful applicants,(A/B)*100,2.7,414
176,#,Screened candidates,Recruitment/Employment Activities,Measures the average number of days between the moment when a job requisition is raised to when a new employee fills the role.,Ai,"Time to fi ll position ‘i’, where i=1 to n",n,Positions fi lled,(A1+A2+...+An)/n,2.7,505
